;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
800,632122,-0.419115,-7.46559
801,633580,-0.431028,-7.35054
802,635043,-0.431843,-7.66063
803,636508,-0.517481,-7.76612
804,637977,-0.480587,-8.05136
805,639449,-0.466884,-7.94035
806,640924,-0.471138,-8.08436
807,642403,-0.482333,-8.43303
808,643886,-0.469042,-8.63839
809,645372,-0.451308,-8.90368
810,646861,-0.484499,-9.04656
811,648353,-0.471809,-9.14362
812,649850,-0.457155,-9.38137
813,651349,-0.45056,-9.64488
814,652852,-0.457802,-9.82857
815,654359,-0.47439,-10.0705
816,655869,-0.491221,-10.0895
817,657382,-0.478753,-10.4471
818,658899,-0.489115,-10.5797
819,660419,-0.511584,-11.0404
820,661943,-0.57213,-11.2427
821,663471,-0.547385,-11.3195
822,665002,-0.577774,-11.6608
823,666536,-0.583264,-11.8318
824,668074,-0.59834,-12.0953
825,669616,-0.633032,-12.4679
826,671161,-0.674298,-12.6502
827,672710,-0.743518,-13.2362
828,674262,-0.807826,-13.3053
829,675818,-0.911027,-13.4495
830,677378,-1.0108,-13.661
831,678941,-1.14461,-12.9745
832,680507,-1.19634,-12.5314
833,682078,-1.16558,-11.1612
834,683652,-1.0796,-10.8271
835,685229,-1.01698,-10.5555
836,686810,-0.920043,-10.7877
837,688395,-0.912614,-11.3205
838,689984,-0.944443,-11.6872
839,691576,-0.912474,-11.9624
840,693172,-0.964484,-12.0048
841,694771,-1.05025,-12.3069
842,696374,-1.23081,-12.2498
843,697981,-1.31019,-11.4059
844,699592,-1.36062,-10.1602
845,701206,-1.25,-8.49922
846,702824,-1.0431,-8.26669
847,704446,-0.857512,-8.50629
848,706072,-0.720338,-8.80269
849,707701,-0.714472,-9.5592
850,709334,-0.652614,-9.78009
851,710971,-0.59646,-10.3249
852,712612,-0.607103,-10.6832
853,714256,-0.576789,-11.1059
854,715904,-0.576275,-11.2768
855,717556,-0.572994,-11.7043
856,719212,-0.604852,-11.666
857,720872,-0.616112,-11.7893
858,722535,-0.612132,-12.3232
859,724202,-0.577974,-12.55
860,725873,-0.573466,-12.5847
861,727548,-0.600798,-12.5594
862,729227,-0.668455,-12.6362
863,730910,-0.683286,-12.5765
864,732597,-0.688232,-12.6962
865,734287,-0.616611,-12.8208
866,735981,-0.649747,-13.1555
867,737680,-0.609688,-13.4502
868,739382,-0.604554,-13.669
869,741088,-0.611904,-13.6697
870,742798,-0.600841,-14.1342
871,744512,-0.62478,-14.2611
872,746230,-0.600925,-14.2564
873,747952,-0.584225,-14.4405
874,749678,-0.684475,-14.6527
875,751408,-0.620452,-14.6669
876,753142,-0.636591,-15.3427
877,754880,-0.601892,-15.0931
878,756622,-0.59294,-15.2804
879,758368,-0.647306,-15.4384
880,760118,-0.717847,-15.19
881,761872,-0.713162,-15.9056
882,763630,-0.711959,-15.5906
883,765392,-0.704913,-16.0232
884,767158,-0.716813,-16.0711
885,768928,-0.730396,-16.1969
886,770703,-0.654888,-16.4706
887,772481,-0.776618,-16.4079
888,774264,-0.728593,-16.7633
889,776050,-0.772679,-17.1901
890,777841,-0.782996,-17.1594
891,779636,-0.773239,-17.4475
892,781435,-0.831688,-17.2829
893,783238,-0.798618,-17.7761
894,785046,-0.936211,-18.0979
895,786857,-0.956464,-18.0723
896,788673,-0.97487,-18.0468
897,790493,-1.12699,-18.3654
898,792317,-1.14396,-18.5678
899,794145,-1.2318,-18.5087
900,795978,-1.22833,-18.2397
901,797814,-1.28411,-17.7279
902,799655,-1.22105,-17.6788
903,801501,-1.21223,-17.7132
904,803350,-1.28216,-18.2597
905,805204,-1.3058,-18.9478
906,807062,-1.43548,-19.4441
907,808924,-1.68577,-18.9642
908,810791,-1.9933,-18.7779
909,812662,-1.89665,-16.8938
910,814537,-1.985,-14.5587
911,816417,-1.8142,-11.7152
912,818301,-1.50887,-11.0939
913,820189,-1.23812,-10.438
914,822082,-1.05312,-10.8417
915,823979,-0.888677,-11.6708
916,825880,-0.824674,-11.9976
917,827786,-1.00301,-12.6877
918,829696,-0.989562,-13.0797
919,831610,-0.956435,-13.2242
920,833529,-0.917381,-13.4072
921,835453,-0.867073,-13.8381
922,837381,-0.85366,-13.9347
923,839313,-0.817645,-14.5449
924,841250,-0.82724,-14.6877
925,843191,-0.779791,-15.1667
926,845137,-0.745422,-15.2114
927,847087,-0.763636,-15.1963
928,849042,-0.71195,-15.6892
929,851001,-0.840994,-15.5826
930,852964,-0.783077,-16.2476
931,854933,-0.762484,-15.9067
932,856906,-0.808953,-16.3445
933,858883,-0.792867,-16.0729
934,860865,-0.735534,-16.5432
935,862851,-0.754902,-16.6285
936,864842,-0.851203,-16.8079
937,866838,-0.781689,-17.0026
938,868838,-0.798586,-17.0419
939,870843,-0.719659,-17.3105
940,872853,-0.869882,-17.5012
941,874867,-0.779717,-17.3391
942,876886,-0.84684,-17.8519
943,878909,-0.797975,-17.6908
944,880937,-0.81034,-17.8524
945,882970,-0.829811,-17.6389
946,885007,-0.889212,-18.1253
947,887050,-0.790206,-18.0347
948,889097,-0.815269,-17.8284
949,891148,-0.812769,-18.0132
950,893205,-0.898822,-18.8445
951,895266,-0.880846,-19.0442
952,897332,-0.872566,-18.6555
953,899402,-0.854895,-18.9975
954,901478,-0.874171,-18.6982
955,903558,-0.825604,-19.1985
956,905643,-0.877232,-19.0859
957,907733,-0.862827,-19.2255
958,909827,-0.876153,-19.2767
959,911927,-0.912274,-19.1989
960,914031,-0.77161,-19.9026
961,916140,-0.911744,-19.601
962,918254,-0.849392,-20.1828
963,920373,-0.882784,-19.6138
964,922497,-0.899842,-20.1823
965,924626,-0.853504,-20.0102
966,926759,-0.908179,-20.2224
967,928898,-0.903919,-20.1888
968,931041,-0.881421,-20.3547
969,933190,-0.946369,-20.7933
970,935343,-0.970925,-20.5194
971,937502,-0.899879,-20.5225
972,939665,-0.880595,-20.5659
973,941833,-0.919577,-20.3691
974,944006,-0.957826,-20.9154
975,946185,-0.906273,-21.0076
976,948368,-0.977833,-21.1607
977,950557,-0.938902,-21.4316
978,952750,-0.998986,-21.9088
979,954949,-0.972824,-21.8667
980,957152,-1.04771,-21.0799
981,959361,-0.99564,-21.5676
982,961575,-1.01809,-21.9889
983,963793,-1.06069,-21.9464
984,966017,-1.04713,-22.1684
985,968247,-1.03088,-21.6573
986,970481,-0.983944,-22.4834
987,972720,-1.12527,-22.3417
988,974965,-1.00808,-22.2304
989,977215,-1.07489,-22.6094
990,979470,-1.02767,-22.5064
991,981730,-1.18642,-23.1171
992,983995,-1.01298,-23.3361
993,986266,-1.14576,-23.6819
994,988542,-1.06643,-23.7514
995,990823,-1.10262,-23.7775
996,993109,-1.16941,-23.5539
997,995401,-1.1791,-23.2672
998,997698,-1.14022,-23.3684
999,1e+06,-1.14936,-23.4429
