;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
782,606433,-0.392994,-5.51991
783,607832,-0.3966,-5.91606
784,609235,-0.405733,-6.25341
785,610641,-0.421696,-6.74717
786,612050,-0.454708,-7.09337
787,613462,-0.438075,-7.41603
788,614878,-0.534762,-7.73951
789,616297,-0.544807,-8.02451
790,617719,-0.581491,-8.51507
791,619144,-0.683052,-8.82158
792,620573,-0.819577,-9.02074
793,622005,-0.971813,-8.49243
794,623440,-1.01539,-7.34012
795,624879,-0.900654,-6.32122
796,626321,-0.747296,-6.1833
797,627766,-0.638269,-6.16853
798,629215,-0.549855,-6.7352
799,630667,-0.558545,-7.23087
800,632122,-0.524875,-7.68638
801,633580,-0.518217,-8.19846
802,635043,-0.4412,-8.29403
803,636508,-0.492608,-8.85239
804,637977,-0.443104,-9.03673
805,639449,-0.45802,-9.50676
806,640924,-0.456559,-9.68293
807,642403,-0.501825,-9.93487
808,643886,-0.493616,-10.0893
809,645372,-0.508237,-10.2938
810,646861,-0.502222,-10.7112
811,648353,-0.501765,-10.9094
812,649850,-0.522397,-10.966
813,651349,-0.541517,-11.3958
814,652852,-0.505684,-11.7693
815,654359,-0.50775,-11.928
816,655869,-0.598024,-12.1372
817,657382,-0.596752,-12.4466
818,658899,-0.64141,-13.0951
819,660419,-0.668501,-12.9678
820,661943,-0.626264,-13.509
821,663471,-0.687569,-13.8453
822,665002,-0.73252,-13.95
823,666536,-0.770402,-14.3035
824,668074,-0.776372,-14.657
825,669616,-0.867702,-15.2242
826,671161,-0.926366,-15.5206
827,672710,-1.0896,-15.7862
828,674262,-1.22131,-16.7927
829,675818,-1.55391,-16.6557
830,677378,-1.77764,-15.1061
831,678941,-2.06722,-12.7421
832,680507,-1.6278,-9.08971
833,682078,-1.44071,-9.17415
834,683652,-1.23884,-7.39987
835,685229,-0.930884,-7.38025
836,686810,-0.736507,-7.89247
837,688395,-0.847744,-8.93849
838,689984,-0.786134,-9.6171
839,691576,-0.760721,-10.3382
840,693172,-0.743267,-10.6731
841,694771,-0.748035,-11.2257
842,696374,-0.752526,-11.5385
843,697981,-0.791009,-11.5553
844,699592,-0.747284,-11.8675
845,701206,-0.769615,-12.0794
846,702824,-0.803745,-12.1547
847,704446,-0.764494,-12.1144
848,706072,-0.722382,-11.864
849,707701,-0.758175,-11.8823
850,709334,-0.673637,-12.1483
851,710971,-0.643081,-12.3954
852,712612,-0.639925,-12.7166
853,714256,-0.607299,-12.9991
854,715904,-0.602612,-13.2607
855,717556,-0.622881,-13.5244
856,719212,-0.666094,-13.4284
857,720872,-0.625149,-13.9041
858,722535,-0.681007,-13.9064
859,724202,-0.711315,-14.1569
860,725873,-0.628553,-14.3516
861,727548,-0.627968,-14.2333
862,729227,-0.728483,-14.466
863,730910,-0.665687,-14.6313
864,732597,-0.616825,-14.7456
865,734287,-0.65877,-15.1969
866,735981,-0.652235,-15.3345
867,737680,-0.657518,-15.4717
868,739382,-0.659162,-15.5866
869,741088,-0.678635,-15.7875
870,742798,-0.679657,-15.7057
871,744512,-0.700482,-15.7397
872,746230,-0.665257,-16.1387
873,747952,-0.733378,-16.1116
874,749678,-0.688131,-16.3835
875,751408,-0.705053,-16.3732
876,753142,-0.741776,-16.2252
877,754880,-0.647174,-16.6641
878,756622,-0.779675,-17.0749
879,758368,-0.644738,-16.9749
880,760118,-0.708735,-17.4792
881,761872,-0.742719,-17.2482
882,763630,-0.691101,-17.3657
883,765392,-0.737725,-17.4552
884,767158,-0.739532,-17.7247
885,768928,-0.7648,-17.7465
886,770703,-0.691036,-17.8366
887,772481,-0.779246,-17.8607
888,774264,-0.793251,-17.7397
889,776050,-0.755012,-18.0663
890,777841,-0.836807,-18.2773
891,779636,-0.810817,-18.3625
892,781435,-0.817396,-18.5765
893,783238,-0.854506,-18.9945
894,785046,-0.783108,-18.5345
895,786857,-0.792916,-18.3869
896,788673,-0.856327,-18.2923
897,790493,-0.806858,-19.1294
898,792317,-0.798872,-19.1189
899,794145,-0.853662,-18.7237
900,795978,-0.836441,-19.2551
901,797814,-0.82341,-19.2398
902,799655,-0.850718,-19.3102
903,801501,-0.867105,-19.9123
904,803350,-0.896607,-19.7973
905,805204,-0.881969,-19.7252
906,807062,-0.907843,-19.7905
907,808924,-0.849423,-19.7905
908,810791,-0.904744,-19.684
909,812662,-0.848899,-20.3527
910,814537,-0.896983,-20.0739
911,816417,-0.817405,-20.2107
912,818301,-0.820602,-20.6494
913,820189,-1.0032,-20.6638
914,822082,-0.884478,-20.346
915,823979,-0.911567,-20.9408
916,825880,-0.981696,-20.6476
917,827786,-0.927594,-21.0551
918,829696,-0.922054,-20.8797
919,831610,-0.947484,-21.0424
920,833529,-0.891595,-20.6108
921,835453,-0.907345,-21.745
922,837381,-0.93457,-20.9477
923,839313,-0.954177,-21.8862
924,841250,-1.00569,-21.7484
925,843191,-1.04004,-21.4112
926,845137,-0.96973,-21.8608
927,847087,-1.00614,-21.9821
928,849042,-0.925386,-21.9327
929,851001,-1.02845,-22.6375
930,852964,-1.08805,-21.7724
931,854933,-0.964958,-22.2345
932,856906,-1.12382,-22.8799
933,858883,-0.979528,-22.2963
934,860865,-1.04096,-22.2787
935,862851,-1.02283,-22.8684
936,864842,-1.0551,-22.9148
937,866838,-1.06267,-22.8553
938,868838,-1.09421,-22.9052
939,870843,-1.08291,-22.9455
940,872853,-1.13327,-23.4005
941,874867,-1.18674,-23.3313
942,876886,-1.12988,-23.3629
943,878909,-1.11385,-23.8289
944,880937,-1.16968,-23.6248
945,882970,-1.20079,-23.5657
946,885007,-1.14267,-23.7557
947,887050,-1.08554,-23.9422
948,889097,-1.08929,-23.9178
949,891148,-1.20345,-23.7545
950,893205,-1.14587,-23.6504
951,895266,-1.10523,-24.0677
952,897332,-1.15425,-24.191
953,899402,-1.17332,-23.9205
954,901478,-1.25161,-24.7803
955,903558,-1.18537,-24.2851
956,905643,-1.20865,-24.4483
957,907733,-1.24867,-24.6338
958,909827,-1.2239,-24.5129
959,911927,-1.30159,-24.764
960,914031,-1.17621,-25.4619
961,916140,-1.3092,-25.3473
962,918254,-1.3431,-25.0764
963,920373,-1.32144,-25.552
964,922497,-1.24354,-25.7906
965,924626,-1.31145,-25.9244
966,926759,-1.2302,-25.7775
967,928898,-1.28011,-26.3378
968,931041,-1.29398,-25.9583
969,933190,-1.31243,-26.0032
970,935343,-1.48273,-25.8685
971,937502,-1.42147,-25.4354
972,939665,-1.30292,-25.6795
973,941833,-1.32845,-26.5807
974,944006,-1.29082,-26.2435
975,946185,-1.3953,-26.8825
976,948368,-1.3651,-26.4582
977,950557,-1.38174,-26.7829
978,952750,-1.35863,-26.2294
979,954949,-1.35042,-26.3459
980,957152,-1.3932,-27.3087
981,959361,-1.49347,-27.6655
982,961575,-1.46669,-27.6982
983,963793,-1.56361,-27.5429
984,966017,-1.57576,-27.5464
985,968247,-1.52114,-27.5287
986,970481,-1.4901,-28.6347
987,972720,-1.5179,-28.317
988,974965,-1.54487,-27.707
989,977215,-1.53727,-28.4989
990,979470,-1.51618,-28.141
991,981730,-1.61148,-27.8533
992,983995,-1.53851,-28.5523
993,986266,-1.64109,-28.8085
994,988542,-1.66657,-28.9969
995,990823,-1.70347,-29.9972
996,993109,-1.66394,-29.5068
997,995401,-1.65239,-29.8697
998,997698,-1.67603,-29.8942
999,1e+06,-1.70964,-30.1955
